"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Easton Stick","LAC","38.5","24.2","286.3","1.7","1.5","4.0","10.4","0.3","0.2","19.2"
"Joshua Dobbs","CLE","54.7","32.5","337.2","1.5","2.6","10.7","27.2","0.1","0.6","19.0"
"P.J. Walker","CHI","85.5","43.4","368.7","1.6","4.0","9.9","21.6","0.1","0.4","19.0"
"Jameis Winston","NO","38.0","26.2","321.6","1.5","1.7","4.6","9.4","0.2","0.2","18.9"
"Nick Mullens","MIN","43.3","32.5","327.4","1.9","2.1","4.7","8.6","0.1","0.7","18.7"
"Stetson Bennett","LAR","66.7","41.5","347.7","1.1","1.7","8.8","18.1","0.1","0.5","18.1"
"Drew Lock","SEA","52.9","29.0","327.8","1.5","2.7","6.0","16.9","0.1","0.5","17.9"
"C.J. Beathard","JAC","46.9","27.4","303.0","1.5","2.8","11.1","19.2","0.1","0.5","16.7"
"Cooper Rush","DAL","34.0","21.3","260.8","1.5","1.2","2.9","6.6","0.1","0.2","16.1"
"Teddy Bridgewater","DET","81.5","42.1","357.9","0.5","1.8","6.4","19.4","0.0","0.3","15.9"
"David Blough","ARI","87.0","52.0","307.6","1.2","2.0","7.0","12.8","0.0","0.5","15.6"
"Trevor Siemian","CIN","53.6","32.1","274.1","1.5","2.7","11.2","16.6","0.1","0.5","15.2"
"Hendon Hooker","DET","72.0","43.0","283.5","0.6","2.2","13.1","23.7","0.2","0.6","13.7"
"Matt Corral","CAR","76.7","44.9","411.6","0.0","5.1","19.4","39.5","0.2","1.5","13.5"
"Kyle Allen","BUF","52.1","32.3","349.9","1.2","5.1","10.6","26.1","0.2","2.2","13.2"
"Malik Willis","TEN","85.6","48.9","329.5","0.5","3.4","15.9","21.9","0.0","0.7","12.8"
"Aidan O'Connell","LV","61.7","36.5","281.4","0.5","2.1","10.8","16.9","0.1","0.6","12.5"
"Jaren Hall","MIN","48.4","29.0","276.8","0.5","2.6","10.2","21.3","0.1","0.8","11.7"
"Skylar Thompson","MIA","111.0","63.4","298.0","0.7","4.1","27.0","21.3","0.0","0.9","11.1"
"Max Duggan","LAC","21.0","14.0","144.0","1.0","0.0","1.0","3.0","0.0","0.0","10.1"
"Dorian Thompson-Robinson","CLE","17.0","11.0","119.0","1.0","0.0","1.0","4.0","0.0","0.0","9.2"
"Case Keenum","HOU","146.2","74.2","286.7","0.3","1.5","15.9","1.2","0.0","1.0","9.1"
"Jake Haener","NO","15.0","10.0","117.0","1.0","0.0","1.0","4.0","0.0","0.0","9.1"
"Matt Barkley","BUF","0.0","0.0","178.4","0.5","1.3","0.0","0.0","0.1","0.1","8.4"
"Tanner McKee","PHI","31.6","18.8","184.3","0.5","2.4","9.6","21.1","0.1","0.7","8.3"
"Mason Rudolph","PIT","51.2","34.9","122.3","0.5","1.2","17.7","14.2","0.0","0.0","7.3"
"John Wolford","TB","20.8","11.6","100.1","1.5","7.1","30.3","44.5","0.0","1.6","4.2"
"Tommy DeVito","NYG","0.0","0.0","23.1","0.1","0.1","0.0","0.1","0.0","0.0","1.3"
"Shane Buechele","KC","0.0","0.0","16.8","0.1","0.1","0.0","0.1","0.0","0.0","1.0"
"Will Grier","DAL","0.0","0.0","9.4","0.0","0.1","0.0","0.0","0.0","0.0","0.4"
""
""
